tool_id,tool_name,pattern,interaction_category,coder1_support,coder2_support
1,HyperbolicBrowser,Tree,FocusContext,Full,Full
1,HyperbolicBrowser,Tree,MultipleViews,NA,NA
1,HyperbolicBrowser,Tree,InteractionWithDimensions,NA,NA
1,HyperbolicBrowser,Tree,DomainSpecificMethods,NA,NA
2,MoireGraphs,Tree,FocusContext,Full,Full
2,MoireGraphs,Tree,MultipleViews,NA,NA
2,MoireGraphs,Tree,InteractionWithDimensions,NA,NA
2,MoireGraphs,Tree,DomainSpecificMethods,NA,NA
3,RINGS,Tree,FocusContext,Full,Full
3,RINGS,Tree,MultipleViews,NA,NA
3,RINGS,Tree,InteractionWithDimensions,NA,NA
3,RINGS,Tree,DomainSpecificMethods,NA,NA
4,VisualThesaurus,Tree,FocusContext,Full,Full
4,VisualThesaurus,Tree,MultipleViews,NA,NA
4,VisualThesaurus,Tree,InteractionWithDimensions,NA,NA
4,VisualThesaurus,Tree,DomainSpecificMethods,NA,NA
5,PhenoTree,Tree,FocusContext,Full,Full
5,PhenoTree,Tree,MultipleViews,NA,NA
5,PhenoTree,Tree,InteractionWithDimensions,NA,NA
5,PhenoTree,Tree,DomainSpecificMethods,Full,Full
6,TargetNetgrams,Tree,FocusContext,Full,Full
6,TargetNetgrams,Tree,MultipleViews,NA,NA
6,TargetNetgrams,Tree,InteractionWithDimensions,Full,Full
6,TargetNetgrams,Tree,DomainSpecificMethods,NA,NA
7,ConeTrees,Tree,FocusContext,NA,NA
7,ConeTrees,Tree,MultipleViews,NA,NA
7,ConeTrees,Tree,InteractionWithDimensions,NA,NA
7,ConeTrees,Tree,DomainSpecificMethods,Full,Full
8,polar-diagrams,Star,FocusContext,Full,Full
8,polar-diagrams,Star,MultipleViews,Full,Full
8,polar-diagrams,Star,InteractionWithDimensions,Full,Full
8,polar-diagrams,Star,DomainSpecificMethods,NA,Full
9,hGraph,Star,FocusContext,Full,Full
9,hGraph,Star,MultipleViews,NA,NA
9,hGraph,Star,InteractionWithDimensions,NA,NA
9,hGraph,Star,DomainSpecificMethods,Full,Full
10,enhanced-polar-diagrams,Star,FocusContext,Full,Full
10,enhanced-polar-diagrams,Star,MultipleViews,Full,Full
10,enhanced-polar-diagrams,Star,InteractionWithDimensions,Full,Full
10,enhanced-polar-diagrams,Star,DomainSpecificMethods,NA,Full
11,DataMeadow,Star,FocusContext,NA,NA
11,DataMeadow,Star,MultipleViews,Full,Full
11,DataMeadow,Star,InteractionWithDimensions,NA,NA
11,DataMeadow,Star,DomainSpecificMethods,NA,NA
12,CircleView,Star,FocusContext,NA,NA
12,CircleView,Star,MultipleViews,Full,Full
12,CircleView,Star,InteractionWithDimensions,Full,Full
12,CircleView,Star,DomainSpecificMethods,NA,Full
13,StarCoordinates,Star,FocusContext,NA,NA
13,StarCoordinates,Star,MultipleViews,NA,NA
13,StarCoordinates,Star,InteractionWithDimensions,Full,Full
13,StarCoordinates,Star,DomainSpecificMethods,NA,NA
14,AdvancedStarCoordinates,Star,FocusContext,NA,NA
14,AdvancedStarCoordinates,Star,MultipleViews,NA,NA
14,AdvancedStarCoordinates,Star,InteractionWithDimensions,Full,Full
14,AdvancedStarCoordinates,Star,DomainSpecificMethods,NA,NA
15,Sunburst,Concentric,FocusContext,Full,Full
15,Sunburst,Concentric,MultipleViews,NA,NA
15,Sunburst,Concentric,InteractionWithDimensions,NA,NA
15,Sunburst,Concentric,DomainSpecificMethods,NA,NA
16,RadialTrafficAnalyzer,Concentric,FocusContext,Full,Full
16,RadialTrafficAnalyzer,Concentric,MultipleViews,NA,NA
16,RadialTrafficAnalyzer,Concentric,InteractionWithDimensions,NA,NA
16,RadialTrafficAnalyzer,Concentric,DomainSpecificMethods,Full,Full
17,StoryPrint,Concentric,FocusContext,Full,Full
17,StoryPrint,Concentric,MultipleViews,Full,Full
17,StoryPrint,Concentric,InteractionWithDimensions,NA,NA
17,StoryPrint,Concentric,DomainSpecificMethods,NA,NA
18,NFTDisk,Concentric,FocusContext,Full,Full
18,NFTDisk,Concentric,MultipleViews,Full,NA
18,NFTDisk,Concentric,InteractionWithDimensions,NA,NA
18,NFTDisk,Concentric,DomainSpecificMethods,NA,NA
19,RumorLens,Concentric,FocusContext,Full,Full
19,RumorLens,Concentric,MultipleViews,Full,Full
19,RumorLens,Concentric,InteractionWithDimensions,NA,NA
19,RumorLens,Concentric,DomainSpecificMethods,NA,NA
20,CircleSegments,Concentric,FocusContext,NA,NA
20,CircleSegments,Concentric,MultipleViews,NA,NA
20,CircleSegments,Concentric,InteractionWithDimensions,NA,NA
20,CircleSegments,Concentric,DomainSpecificMethods,Full,Full
21,InterRing,Concentric,FocusContext,NA,NA
21,InterRing,Concentric,MultipleViews,NA,NA
21,InterRing,Concentric,InteractionWithDimensions,NA,NA
21,InterRing,Concentric,DomainSpecificMethods,Full,Full
22,SpiraClock,Spiral,FocusContext,Full,Full
22,SpiraClock,Spiral,MultipleViews,NA,NA
22,SpiraClock,Spiral,InteractionWithDimensions,NA,NA
22,SpiraClock,Spiral,DomainSpecificMethods,Full,NA
23,RankSpiral,Spiral,FocusContext,NA,NA
23,RankSpiral,Spiral,MultipleViews,Full,Full
23,RankSpiral,Spiral,InteractionWithDimensions,NA,NA
23,RankSpiral,Spiral,DomainSpecificMethods,NA,NA
24,SpiraGraph,Spiral,FocusContext,NA,NA
24,SpiraGraph,Spiral,MultipleViews,NA,NA
24,SpiraGraph,Spiral,InteractionWithDimensions,NA,NA
24,SpiraGraph,Spiral,DomainSpecificMethods,Full,Full
25,Zoomology,Euler,FocusContext,Full,Full
25,Zoomology,Euler,MultipleViews,NA,NA
25,Zoomology,Euler,InteractionWithDimensions,NA,NA
25,Zoomology,Euler,DomainSpecificMethods,NA,NA
26,Moire-Trees,Euler,FocusContext,Full,Full
26,Moire-Trees,Euler,MultipleViews,NA,NA
26,Moire-Trees,Euler,InteractionWithDimensions,NA,NA
26,Moire-Trees,Euler,DomainSpecificMethods,NA,NA
27,Bubbleworld,Euler,FocusContext,Full,Full
27,Bubbleworld,Euler,MultipleViews,Full,Full
27,Bubbleworld,Euler,InteractionWithDimensions,NA,NA
27,Bubbleworld,Euler,DomainSpecificMethods,Full,Full
28,Daisy,ConnectedRing,FocusContext,Full,Full
28,Daisy,ConnectedRing,MultipleViews,Full,Full
28,Daisy,ConnectedRing,InteractionWithDimensions,NA,NA
28,Daisy,ConnectedRing,DomainSpecificMethods,Full,Full
29,NetMap,ConnectedRing,FocusContext,Full,Full
29,NetMap,ConnectedRing,MultipleViews,NA,NA
29,NetMap,ConnectedRing,InteractionWithDimensions,NA,NA
29,NetMap,ConnectedRing,DomainSpecificMethods,Full,Full
30,InterceptGraph,ConnectedRing,FocusContext,Full,Full
30,InterceptGraph,ConnectedRing,MultipleViews,NA,NA
30,InterceptGraph,ConnectedRing,InteractionWithDimensions,Full,Full
30,InterceptGraph,ConnectedRing,DomainSpecificMethods,NA,NA
31,circlize,ConnectedRing,FocusContext,Full,Full
31,circlize,ConnectedRing,MultipleViews,Full,Full
31,circlize,ConnectedRing,InteractionWithDimensions,NA,NA
31,circlize,ConnectedRing,DomainSpecificMethods,NA,NA
32,OmicCircos,ConnectedRing,FocusContext,Full,Full
32,OmicCircos,ConnectedRing,MultipleViews,NA,NA
32,OmicCircos,ConnectedRing,InteractionWithDimensions,Full,NA
32,OmicCircos,ConnectedRing,DomainSpecificMethods,Full,Full
33,VISAM3R3,ConnectedRing,FocusContext,Full,Full
33,VISAM3R3,ConnectedRing,MultipleViews,NA,NA
33,VISAM3R3,ConnectedRing,InteractionWithDimensions,NA,NA
33,VISAM3R3,ConnectedRing,DomainSpecificMethods,NA,NA
34,3D-RadViz,ConnectedRing,FocusContext,Full,Full
34,3D-RadViz,ConnectedRing,MultipleViews,Full,Full
34,3D-RadViz,ConnectedRing,InteractionWithDimensions,Full,Full
34,3D-RadViz,ConnectedRing,DomainSpecificMethods,NA,NA
35,AuroraGenome,ConnectedRing,FocusContext,Full,Full
35,AuroraGenome,ConnectedRing,MultipleViews,NA,NA
35,AuroraGenome,ConnectedRing,InteractionWithDimensions,Full,Full
35,AuroraGenome,ConnectedRing,DomainSpecificMethods,Full,Full
36,TimeWheelMultiComb,ConnectedRing,FocusContext,NA,NA
36,TimeWheelMultiComb,ConnectedRing,MultipleViews,NA,NA
36,TimeWheelMultiComb,ConnectedRing,InteractionWithDimensions,Full,Full
36,TimeWheelMultiComb,ConnectedRing,DomainSpecificMethods,NA,NA
37,ManagersDartboard,ConnectedRing,FocusContext,NA,NA
37,ManagersDartboard,ConnectedRing,MultipleViews,NA,NA
37,ManagersDartboard,ConnectedRing,InteractionWithDimensions,Full,Full
37,ManagersDartboard,ConnectedRing,DomainSpecificMethods,Full,Full
38,RadViz,ConnectedRing,FocusContext,NA,NA
38,RadViz,ConnectedRing,MultipleViews,NA,NA
38,RadViz,ConnectedRing,InteractionWithDimensions,Full,Full
38,RadViz,ConnectedRing,DomainSpecificMethods,NA,NA
39,VisAlert,ConnectedRing,FocusContext,NA,NA
39,VisAlert,ConnectedRing,MultipleViews,NA,NA
39,VisAlert,ConnectedRing,InteractionWithDimensions,Full,Full
39,VisAlert,ConnectedRing,DomainSpecificMethods,NA,NA
40,HoopDiagram,DisconnectedRing,FocusContext,Full,Full
40,HoopDiagram,DisconnectedRing,MultipleViews,NA,NA
40,HoopDiagram,DisconnectedRing,InteractionWithDimensions,Full,Full
40,HoopDiagram,DisconnectedRing,DomainSpecificMethods,NA,NA
41,EventTunnel,DisconnectedRing,FocusContext,NA,NA
41,EventTunnel,DisconnectedRing,MultipleViews,NA,NA
41,EventTunnel,DisconnectedRing,InteractionWithDimensions,NA,NA
41,EventTunnel,DisconnectedRing,DomainSpecificMethods,Full,Full
