library_id,library_name,pattern,interaction_category,coder1_support,coder2_support
1,Plotly,Tree,Focus+Context,Partial,Partial
1,Plotly,Tree,Multiple Views,Partial,Partial
1,Plotly,Tree,Interaction with Dimensions,Partial,NA
1,Plotly,Tree,Domain-Specific Methods,NA,NA
1,Plotly,Star,Focus+Context,Full,Full
1,Plotly,Star,Multiple Views,Full,Partial
1,Plotly,Star,Interaction with Dimensions,Partial,Partial
1,Plotly,Star,Domain-Specific Methods,NA,NA
1,Plotly,Concentric,Focus+Context,Full,Full
1,Plotly,Concentric,Multiple Views,Partial,Partial
1,Plotly,Concentric,Interaction with Dimensions,Partial,Partial
1,Plotly,Concentric,Domain-Specific Methods,NA,NA
1,Plotly,Spiral,Focus+Context,Partial,NA
1,Plotly,Spiral,Multiple Views,NA,NA
1,Plotly,Spiral,Interaction with Dimensions,NA,NA
1,Plotly,Spiral,Domain-Specific Methods,NA,NA
1,Plotly,Euler,Focus+Context,NA,NA
1,Plotly,Euler,Multiple Views,NA,NA
1,Plotly,Euler,Interaction with Dimensions,NA,NA
1,Plotly,Euler,Domain-Specific Methods,NA,NA
1,Plotly,Connected Ring,Focus+Context,Partial,Partial
1,Plotly,Connected Ring,Multiple Views,Partial,Partial
1,Plotly,Connected Ring,Interaction with Dimensions,NA,Partial
1,Plotly,Connected Ring,Domain-Specific Methods,NA,NA
1,Plotly,Disconnected Ring,Focus+Context,Partial,Partial
1,Plotly,Disconnected Ring,Multiple Views,Partial,Partial
1,Plotly,Disconnected Ring,Interaction with Dimensions,NA,NA
1,Plotly,Disconnected Ring,Domain-Specific Methods,NA,NA
2,Altair/Vega-Lite,Tree,Focus+Context,NA,NA
2,Altair/Vega-Lite,Tree,Multiple Views,NA,NA
2,Altair/Vega-Lite,Tree,Interaction with Dimensions,NA,NA
2,Altair/Vega-Lite,Tree,Domain-Specific Methods,NA,NA
2,Altair/Vega-Lite,Star,Focus+Context,Partial,Partial
2,Altair/Vega-Lite,Star,Multiple Views,Partial,Partial
2,Altair/Vega-Lite,Star,Interaction with Dimensions,NA,NA
2,Altair/Vega-Lite,Star,Domain-Specific Methods,NA,NA
2,Altair/Vega-Lite,Concentric,Focus+Context,Partial,Partial
2,Altair/Vega-Lite,Concentric,Multiple Views,Partial,Partial
2,Altair/Vega-Lite,Concentric,Interaction with Dimensions,NA,NA
2,Altair/Vega-Lite,Concentric,Domain-Specific Methods,NA,NA
2,Altair/Vega-Lite,Spiral,Focus+Context,NA,NA
2,Altair/Vega-Lite,Spiral,Multiple Views,NA,NA
2,Altair/Vega-Lite,Spiral,Interaction with Dimensions,NA,NA
2,Altair/Vega-Lite,Spiral,Domain-Specific Methods,NA,NA
2,Altair/Vega-Lite,Euler,Focus+Context,NA,NA
2,Altair/Vega-Lite,Euler,Multiple Views,NA,NA
2,Altair/Vega-Lite,Euler,Interaction with Dimensions,NA,NA
2,Altair/Vega-Lite,Euler,Domain-Specific Methods,NA,NA
2,Altair/Vega-Lite,Connected Ring,Focus+Context,NA,NA
2,Altair/Vega-Lite,Connected Ring,Multiple Views,NA,NA
2,Altair/Vega-Lite,Connected Ring,Interaction with Dimensions,NA,NA
2,Altair/Vega-Lite,Connected Ring,Domain-Specific Methods,NA,NA
2,Altair/Vega-Lite,Disconnected Ring,Focus+Context,NA,NA
2,Altair/Vega-Lite,Disconnected Ring,Multiple Views,NA,NA
2,Altair/Vega-Lite,Disconnected Ring,Interaction with Dimensions,NA,NA
2,Altair/Vega-Lite,Disconnected Ring,Domain-Specific Methods,NA,NA
3,ggplot2,Tree,Focus+Context,NA,NA
3,ggplot2,Tree,Multiple Views,NA,NA
3,ggplot2,Tree,Interaction with Dimensions,NA,NA
3,ggplot2,Tree,Domain-Specific Methods,NA,NA
3,ggplot2,Star,Focus+Context,Partial,Partial
3,ggplot2,Star,Multiple Views,Partial,Partial
3,ggplot2,Star,Interaction with Dimensions,NA,NA
3,ggplot2,Star,Domain-Specific Methods,NA,NA
3,ggplot2,Concentric,Focus+Context,Partial,Partial
3,ggplot2,Concentric,Multiple Views,Partial,Partial
3,ggplot2,Concentric,Interaction with Dimensions,NA,NA
3,ggplot2,Concentric,Domain-Specific Methods,NA,NA
3,ggplot2,Spiral,Focus+Context,NA,NA
3,ggplot2,Spiral,Multiple Views,NA,NA
3,ggplot2,Spiral,Interaction with Dimensions,NA,NA
3,ggplot2,Spiral,Domain-Specific Methods,NA,NA
3,ggplot2,Euler,Focus+Context,NA,NA
3,ggplot2,Euler,Multiple Views,NA,NA
3,ggplot2,Euler,Interaction with Dimensions,NA,NA
3,ggplot2,Euler,Domain-Specific Methods,NA,NA
